,price,Commune,rank_city_pr,house_area,number_of_rooms,terrace,terrace_area,fully_equipped_kitchen,open_fire,SB_as new,SB_just renovated,SB_good,SB_to be done up,SB_to renovate,SB_to restore
5137,199000,ANTWERPEN,335.0,62.0,1,1,,1,0,1,0,0,0,0,0
5138,155000,DILSEN-STOKKEM,189.0,99.0,3,0,0.0,1,0,0,0,1,0,0,0
5139,156000,BLANKENBERGE,153.0,44.0,2,0,0.0,0,0,0,0,1,0,0,0
5140,159000,ANTWERPEN,335.0,70.0,1,1,7.0,1,0,1,0,0,0,0,0
5141,159000,ZEDELGEM,414.0,95.0,2,0,0.0,1,0,0,0,1,0,0,0
5142,159800,DE HAAN,258.0,60.0,1,1,,1,0,1,0,0,0,0,0
5143,160000,TURNHOUT,278.0,80.0,2,0,0.0,1,0,0,0,0,0,0,0
5144,163000,BREDENE,114.0,80.0,2,1,,1,0,0,0,0,1,0,0
5145,163200,WOMMELGEM,428.0,72.0,2,1,18.0,1,0,1,0,0,0,0,0
5146,164000,TURNHOUT,278.0,80.0,2,0,0.0,1,0,0,0,1,0,0,0
5147,168000,SCHAERBEEK,404.0,70.0,1,0,0.0,1,0,0,0,0,0,1,0
5148,169000,GENK,180.0,113.0,2,1,,0,0,0,0,1,0,0,0
5149,169000,HOESELT,95.0,97.0,2,0,0.0,1,0,0,0,1,0,0,0
5150,169000,LIÈGE,84.0,125.0,2,0,0.0,1,0,0,0,0,0,0,0
5151,170000,HARELBEKE,161.0,77.0,2,0,0.0,0,0,0,0,0,1,0,0
5152,174000,OUPEYE,132.0,99.0,2,1,16.0,1,0,0,0,0,0,0,0
5153,174685,ANTWERPEN,335.0,65.0,1,1,15.0,1,0,0,0,0,0,0,0
5154,175000,KNOKKE-HEIST,570.0,40.0,2,0,0.0,0,0,0,0,0,0,0,0
5155,179000,GENK,180.0,93.0,3,0,0.0,1,0,0,0,0,0,0,0
5156,180000,KORTRIJK,353.0,79.0,2,1,4.0,1,0,0,0,1,0,0,0
5157,185000,TOURNAI,282.0,89.0,1,1,,0,0,0,0,1,0,0,0
5158,185000,BRUGGE,468.0,66.0,2,1,,1,0,0,0,1,0,0,0
5159,185000,OOSTENDE,167.0,141.0,3,0,0.0,1,0,0,0,1,0,0,0
5160,189000,GENK,180.0,74.0,2,1,,0,0,0,0,1,0,0,0
5161,189000,OOSTENDE,167.0,95.0,2,0,0.0,1,0,0,0,1,0,0,0
5162,189000,ROESELARE,250.0,124.0,2,0,0.0,0,0,0,0,0,0,0,0
5163,189500,ANTWERPEN,335.0,60.0,1,1,,1,0,0,1,0,0,0,0
5164,190000,OOSTENDE,167.0,64.0,0,1,,0,0,0,0,1,0,0,0
5165,190000,ZELE,322.0,90.0,2,1,5.0,1,0,0,0,1,0,0,0
5166,198000,ANTWERPEN,335.0,73.0,1,0,0.0,1,0,1,0,0,0,0,0
5167,199000,ANTWERPEN,335.0,55.0,1,0,0.0,1,0,0,0,0,0,0,0
5168,199000,KONTICH,467.0,106.0,1,0,0.0,1,0,0,0,1,0,0,0
5169,199000,ANS,66.0,106.0,2,1,,1,0,0,0,0,0,0,0
5170,199000,OOSTENDE,167.0,78.0,2,1,10.0,1,0,0,0,1,0,0,0
5171,199000,NIEUWPOORT,364.0,61.0,1,0,0.0,0,0,1,0,0,0,0,0
5172,199000,TEMSE,312.0,80.0,2,0,0.0,0,0,1,0,0,0,0,0
5173,199500,ZELZATE,160.0,140.0,2,0,0.0,0,0,0,0,1,0,0,0
5174,186000,IZEGEM,227.0,90.0,2,1,5.0,0,0,0,0,1,0,0,0
5175,195000,ANTWERPEN,335.0,69.0,1,1,22.0,0,0,0,1,0,0,0,0
5176,199700,GENK,180.0,75.0,1,0,0.0,1,0,1,0,0,0,0,0
5177,176900,HERSTAL,94.0,56.0,1,1,10.0,1,0,0,0,0,0,0,0
5178,182750,HERSTAL,94.0,60.0,1,1,10.0,1,0,0,0,0,0,0,0
5179,159000,SINT-NIKLAAS,321.0,106.0,2,0,0.0,0,0,1,0,0,0,0,0
5180,173000,DENDERLEEUW,214.0,98.0,2,0,0.0,1,0,0,0,1,0,0,0
5181,178000,KNOKKE-HEIST,570.0,40.0,1,0,0.0,0,0,0,0,0,0,0,0
5182,180000,SAMBREVILLE,83.0,70.0,2,1,5.0,1,0,1,0,0,0,0,0
5183,199000,ANTWERPEN,335.0,85.0,2,1,8.0,0,0,0,1,0,0,0,0
5184,200000,BELOEIL,348.0,95.0,2,1,25.0,1,0,0,0,1,0,0,0
5185,169000,ANTWERPEN,335.0,60.0,1,1,4.0,1,0,1,0,0,0,0,0
5186,175000,NIVELLES,285.0,61.0,1,1,22.0,1,0,1,0,0,0,0,0
5187,175000,MANAGE,49.0,61.0,1,1,22.0,1,0,1,0,0,0,0,0
5188,175000,SENEFFE,212.0,61.0,1,1,22.0,1,0,1,0,0,0,0,0
5189,184822,BALEN,241.0,84.0,2,1,28.0,1,0,1,0,0,0,0,0
5190,159000,TIENEN,179.0,95.0,1,1,,1,0,0,0,0,0,0,0
5191,175000,BERINGEN,193.0,180.0,3,0,0.0,1,0,0,0,0,0,0,0
5192,175000,DE PANNE,118.0,52.0,1,0,0.0,1,0,0,0,0,0,0,0
5193,199000,LOKEREN,338.0,90.0,2,1,,1,0,1,0,0,0,0,0
5194,158000,MOLENBEEK-SAINT-JEAN,239.0,82.0,2,1,,0,0,0,0,1,0,0,0
5195,158000,HOESELT,95.0,131.0,4,0,0.0,1,0,0,0,1,0,0,0
5196,159500,FOREST,473.0,60.0,1,1,1.0,1,0,0,0,1,0,0,0
5197,161600,TORHOUT,291.0,63.0,1,1,5.0,1,0,0,0,0,0,0,0
5198,165000,ROCHEFORT,113.0,90.0,2,0,0.0,1,0,0,0,1,0,0,0
5199,169000,OOSTENDE,167.0,39.0,0,0,0.0,1,0,0,0,1,0,0,0
5200,170000,HASSELT,411.0,82.0,2,0,0.0,1,0,0,0,1,0,0,0
5201,172000,IZEGEM,227.0,80.0,2,0,0.0,1,0,0,0,1,0,0,0
5202,172000,DENDERMONDE,243.0,80.0,1,1,12.0,1,0,0,0,1,0,0,0
5203,175000,KNOKKE-HEIST,570.0,30.0,1,1,4.0,1,0,0,0,1,0,0,0
5204,179900,LA LOUVIÈRE,37.0,97.0,2,0,0.0,1,0,1,0,0,0,0,0
5205,186000,BRUXELLES,494.0,48.0,1,1,,0,0,1,0,0,0,0,0
5206,187662,MONS,40.0,134.0,3,0,0.0,1,0,0,0,0,0,0,0
5207,189000,BEVEREN-WAAS,318.0,63.0,1,1,7.0,1,0,0,0,0,0,0,0
5208,189000,TEMSE,312.0,85.0,2,1,45.0,0,0,1,0,0,0,0,0
5209,189200,TORHOUT,291.0,78.0,1,1,7.0,1,0,0,0,0,0,0,0
5210,190000,ANTWERPEN,335.0,106.0,2,0,0.0,1,0,0,0,1,0,0,0
5211,199000,SINT-PIETERS-LEEUW,448.0,80.0,2,1,4.0,0,0,0,0,0,0,0,0
5212,199000,MEULEBEKE,174.0,65.0,1,0,0.0,1,0,1,0,0,0,0,0
5213,165000,ANTWERPEN,335.0,83.0,1,0,0.0,1,0,0,0,1,0,0,0
5214,184999,VERVIERS,73.0,90.0,2,1,11.0,1,0,0,0,0,0,0,0
5215,191361,PUURS-SINT-AMANDS,389.0,82.0,1,1,,0,0,1,0,0,0,0,0
5216,195000,INGELMUNSTER,329.0,77.0,2,1,,0,0,1,0,0,0,0,0
5217,199430,LANAKEN,125.0,87.0,2,1,22.0,1,0,1,0,0,0,0,0
5218,199500,MEISE,526.0,68.0,1,1,8.0,0,0,0,0,0,0,0,0
5219,151500,TIELT,288.0,40.0,1,0,0.0,0,0,0,0,1,0,0,0
5220,159000,SERAING,26.0,121.0,3,0,0.0,1,0,0,1,0,0,0,0
5221,160000,OOSTENDE,167.0,73.0,2,1,,1,0,0,0,0,0,0,0
5222,189000,OOSTENDE,167.0,92.0,2,1,3.0,1,0,0,0,0,0,0,0
5223,185000,MOLENBEEK-SAINT-JEAN,239.0,80.0,2,0,0.0,0,0,0,0,0,0,0,0
5224,190000,ALKEN,373.0,54.0,1,0,0.0,1,0,1,0,0,0,0,0
5225,199000,ROTSELAAR,384.0,59.0,1,1,6.0,0,0,1,0,0,0,0,0
5226,170000,KNOKKE-HEIST,570.0,38.0,2,0,0.0,0,0,0,0,1,0,0,0
5227,185000,BEVEREN-WAAS,318.0,70.0,1,1,,1,0,0,1,0,0,0,0
5228,155000,BRUGGE,468.0,51.0,1,0,0.0,1,0,0,0,0,0,0,0
5229,159000,ANTWERPEN,335.0,65.0,2,0,0.0,0,0,1,0,0,0,0,0
5230,163700,BORSBEEK,315.0,95.0,2,1,4.0,1,0,0,0,0,1,0,0
5231,165000,MOUSCRON,172.0,150.0,3,0,0.0,1,0,0,0,0,0,0,0
5232,169000,HARELBEKE,161.0,130.0,3,1,4.0,0,0,0,0,0,1,0,0
5233,169500,HAMME,154.0,45.0,1,1,,0,0,0,0,1,0,0,0
5234,170000,BRUGGE,468.0,76.0,2,0,0.0,1,0,0,1,0,0,0,0
5235,170000,EEKLO,221.0,80.0,2,1,,0,0,1,0,0,0,0,0
5236,179000,ANTWERPEN,335.0,75.0,1,1,31.0,0,0,1,0,0,0,0,0
5237,179000,ANTWERPEN,335.0,105.0,3,1,2.0,1,0,0,0,1,0,0,0
5238,179000,LIER,390.0,50.0,1,0,0.0,0,0,1,0,0,0,0,0
5239,179500,ANTWERPEN,335.0,60.0,1,1,5.0,0,0,0,0,1,0,0,0
5240,185000,ANTWERPEN,335.0,60.0,1,0,0.0,0,0,0,0,1,0,0,0
5241,189000,AARTSELAAR,509.0,100.0,2,1,,1,0,0,0,1,0,0,0
5242,189000,TOURNAI,282.0,120.0,3,0,0.0,0,0,0,0,0,0,0,0
5243,189000,BEVEREN-WAAS,318.0,70.0,2,0,0.0,0,0,0,0,0,0,0,0
5244,190000,JETTE,260.0,80.0,2,1,11.0,1,0,0,1,0,0,0,0
5245,190000,BEERSEL,490.0,47.0,1,0,0.0,1,0,0,0,1,0,0,0
5246,192028,TUBIZE,187.0,89.0,2,1,9.0,1,0,0,0,0,0,0,0
5247,198000,BERLARE,454.0,113.0,1,0,0.0,1,0,1,0,0,0,0,0
5248,199000,HEIST-OP-DEN-BERG,450.0,85.0,2,1,,0,0,0,0,1,0,0,0
5249,199000,WALCOURT,31.0,86.0,2,1,22.0,1,0,0,0,0,0,0,0
5250,199000,GENT,496.0,59.0,1,1,9.0,0,0,1,0,0,0,0,0
5251,199000,BLANKENBERGE,153.0,101.0,2,0,0.0,1,0,0,1,0,0,0,0
5252,182774,CHAUDFONTAINE,254.0,50.0,1,1,6.0,0,0,0,0,0,0,0,0
5253,195000,VERVIERS,73.0,95.0,2,1,8.0,1,0,0,0,0,0,0,0
5254,197000,LOMMEL,257.0,76.0,2,1,10.0,0,0,0,0,0,0,0,0
5255,165000,AMAY,27.0,135.0,3,0,0.0,0,0,1,0,0,0,0,0
5256,165000,MIDDELKERKE,72.0,53.0,1,1,12.0,1,0,1,0,0,0,0,0
5257,165000,GENT,496.0,44.0,1,0,0.0,1,0,0,0,0,0,1,0
5258,169000,LEUVEN,466.0,16.0,0,0,0.0,1,0,1,0,0,0,0,0
5259,185000,LANDEN,74.0,120.0,2,1,,1,0,0,0,1,0,0,0
5260,189000,ANTWERPEN,335.0,95.0,2,0,0.0,1,0,0,0,1,0,0,0
5261,195000,KORTRIJK,353.0,80.0,2,0,0.0,1,0,1,0,0,0,0,0
5262,160000,IXELLES,564.0,38.0,1,0,0.0,1,0,0,0,1,0,0,0
5263,199000,ZWIJNDRECHT,456.0,81.0,2,0,0.0,0,0,0,0,1,0,0,0
5264,195000,ANDERLECHT,283.0,65.0,1,1,,0,0,1,0,0,0,0,0
5265,155000,ANTWERPEN,335.0,105.0,2,0,0.0,0,0,0,1,0,0,0,0
5266,159000,MAASMECHELEN,270.0,95.0,2,1,,1,0,0,0,1,0,0,0
5267,165000,KOKSIJDE,324.0,56.0,1,1,,1,0,0,0,1,0,0,0
5268,165503,PUURS-SINT-AMANDS,389.0,58.0,1,1,,0,0,1,0,0,0,0,0
5269,166500,ATH,105.0,82.0,2,1,14.0,1,0,0,0,0,0,0,0
5270,169000,KOKSIJDE,324.0,61.0,1,1,17.0,0,0,1,0,0,0,0,0
5271,169750,LOKEREN,338.0,61.0,1,1,11.0,1,0,0,0,0,0,0,0
5272,171000,ATH,105.0,83.0,2,1,15.0,1,0,0,0,0,0,0,0
5273,174900,MAASEIK,426.0,90.0,1,1,6.0,0,0,0,0,1,0,0,0
5274,179900,ANTWERPEN,335.0,98.0,3,0,0.0,1,0,0,0,1,0,0,0
5275,184000,CINEY,79.0,135.0,2,0,0.0,1,0,0,1,0,0,0,0
5276,184000,SINT-NIKLAAS,321.0,65.0,1,1,,1,0,1,0,0,0,0,0
5277,185000,ATH,105.0,90.0,2,1,17.0,1,0,0,0,0,0,0,0
5278,186000,SERAING,26.0,87.0,2,1,6.0,0,0,1,0,0,0,0,0
5279,186900,HERSTAL,94.0,60.0,1,1,10.0,1,0,0,0,0,0,0,0
5280,187500,DE HAAN,258.0,77.0,2,0,0.0,1,0,1,0,0,0,0,0
5281,188000,SERAING,26.0,87.0,2,1,6.0,0,0,1,0,0,0,0,0
5282,188000,SERAING,26.0,86.0,2,1,8.0,0,0,1,0,0,0,0,0
5283,190000,SERAING,26.0,86.0,2,1,8.0,0,0,1,0,0,0,0,0
5284,191000,SERAING,26.0,88.0,2,1,8.0,0,0,1,0,0,0,0,0
5285,195000,MALLE,435.0,67.0,1,1,7.0,1,0,0,0,1,0,0,0
5286,195000,IZEGEM,227.0,94.0,1,1,,1,0,0,0,1,0,0,0
5287,195000,OUDENAARDE,269.0,80.0,2,0,0.0,1,0,0,0,0,0,0,0
5288,198000,LA LOUVIÈRE,37.0,93.0,2,1,10.0,1,0,0,0,0,0,0,0
5289,199000,ANTWERPEN,335.0,50.0,1,1,4.0,1,0,1,0,0,0,0,0
5290,199000,ANTWERPEN,335.0,70.0,2,0,0.0,0,0,0,0,0,0,0,0
5291,199000,BRASSCHAAT,529.0,111.0,3,0,0.0,1,0,0,0,1,0,0,0
5292,200000,LOKEREN,338.0,69.0,1,1,9.0,0,0,0,0,1,0,0,0
5293,189000,LANAKEN,125.0,85.0,2,0,0.0,0,0,0,0,1,0,0,0
5294,160370,OUDSBERGEN,156.0,59.0,1,1,,0,0,0,0,0,0,0,0
5295,165807,OUDSBERGEN,156.0,61.0,1,1,,0,0,0,0,0,0,0,0
5296,168524,OUDSBERGEN,156.0,62.0,1,1,,0,0,0,0,0,0,0,0
5297,174118,OUDSBERGEN,156.0,66.0,1,1,,0,0,0,0,0,0,0,0
5298,179000,LOMMEL,257.0,63.0,1,1,8.0,0,0,0,0,0,0,0,0
5299,180000,NAMUR,259.0,95.0,2,1,,0,0,0,0,0,0,0,0
5300,180209,OUDSBERGEN,156.0,71.0,1,1,,0,0,0,0,0,0,0,0
5301,183383,OUDSBERGEN,156.0,74.0,1,1,,0,0,0,0,0,0,0,0
5302,183474,TONGEREN,201.0,70.0,2,1,12.0,0,0,1,0,0,0,0,0
